1;0;1421.00;12.45;1957.00;-0.65;0.49
2;0;1424.00;13.11;1984.00;-0.03;0.39
3;0;1449.00;10.32;1937.00;0.55;0.26
4;0;1450.00;11.26;1972.00;2.06;0.16
5;0;1427.00;11.87;1935.00;0.18;0.01
6;0;1690.00;11.80;1619.00;-0.74;0.15
7;0;1660.00;11.22;1621.00;0.41;0.35
8;0;1659.00;11.42;1686.00;-0.21;0.42
9;0;1700.00;11.17;1677.00;0.00;0.25
10;0;1699.00;11.81;1645.00;-0.32;0.15
11;0;1676.00;10.99;1641.00;-0.78;0.06
12;0;1716.00;12.12;1665.00;-0.73;0.14
13;0;1654.00;11.04;1646.00;0.20;0.07
14;0;1698.00;11.22;1601.00;-0.19;0.40
15;0;1683.00;11.10;1706.00;-0.23;0.12
16;0;1720.00;12.47;1688.00;-0.13;0.07
17;0;1678.00;10.55;1664.00;-0.04;0.26
18;0;1678.00;10.99;1606.00;-0.61;0.32
19;0;1703.00;11.38;1700.00;-0.14;0.50
20;0;1655.00;10.75;1668.00;-0.04;0.07
21;0;1679.00;11.35;1688.00;-0.04;0.49
22;0;1664.00;11.06;1702.00;-0.32;0.04
23;0;1046.00;10.32;1694.00;0.35;0.23
24;0;1023.00;13.40;1760.00;-0.18;0.09
25;0;981.00;11.81;1727.00;-0.68;0.25
26;0;1044.00;11.36;1725.00;0.00;0.48
27;0;901.00;11.28;1753.00;-0.19;0.16
28;0;918.00;11.32;1807.00;-0.72;0.08
29;0;949.00;11.49;1770.00;-0.56;0.34
30;0;943.00;11.32;1799.00;-0.76;0.28
31;0;987.00;12.12;1773.00;-0.84;0.24
32;0;966.00;11.46;1706.00;0.46;0.26
33;0;929.00;11.93;1737.00;-0.35;0.27
34;0;1014.00;11.39;1724.00;-0.91;0.47
35;0;894.00;10.96;1776.00;0.33;0.24
36;0;920.00;11.78;1774.00;-0.76;0.30
37;0;989.00;10.54;1704.00;-0.81;0.27
38;0;998.00;12.36;1750.00;-0.63;0.32
39;0;962.00;11.96;1749.00;-0.34;0.40
40;0;953.00;11.63;1724.00;-0.43;0.03
41;0;968.00;11.89;1789.00;-0.81;0.38
42;0;1304.00;16.18;1839.00;-0.66;0.15
43;0;1358.00;14.16;1823.00;0.29;0.37
44;0;1389.00;12.42;1867.00;-0.02;0.41
