0;0;0;0;land;false;unknown;0
1;192;56;1;land;false;plains;1
2;212;18;1;land;false;mountain;1
3;198;55;1;land;false;hills;1
4;232;53;1;land;false;mountain;1
5;180;27;1;land;false;hills;1
6;195;229;1;land;false;mountain;1
7;193;215;1;land;false;hills;1
8;120;250;1;land;false;hills;1
9;185;253;1;land;false;mountain;1
10;154;245;1;land;false;mountain;1
11;137;228;1;land;false;mountain;1
12;134;236;1;land;false;mountain;1
13;146;211;1;land;false;hills;1
14;150;231;1;land;false;mountain;1
15;156;254;1;land;false;hills;1
16;195;234;1;land;false;mountain;1
17;123;224;1;land;false;plains;1
18;182;223;1;land;false;hills;1
19;143;247;1;land;false;mountain;1
20;121;236;1;land;false;hills;1
21;153;251;1;land;false;hills;1
22;148;250;1;land;false;hills;1
23;76;79;1;land;true;hills;1
24;95;73;1;land;false;mountain;1
25;35;75;1;land;false;hills;1
26;84;43;1;land;false;mountain;1
27;104;77;1;land;true;plains;1
28;54;22;1;land;false;plains;1
29;90;47;1;land;false;hills;1
30;98;42;1;land;false;plains;1
31;44;18;1;land;false;hills;1
32;106;55;1;land;false;hills;1
33;73;23;1;land;false;hills;1
34;58;55;1;land;true;mountain;1
35;32;20;1;land;true;plains;1
36;101;62;1;land;false;plains;1
37;36;19;1;land;true;hills;1
38;68;24;1;land;false;mountain;1
39;37;66;1;land;false;hills;1
40;54;60;1;land;false;hills;1
41;39;70;1;land;false;hills;1
42;145;37;1;land;false;mountain;1
43;125;58;1;land;false;mountain;1
44;105;30;1;land;false;hills;1
45;68;40;1;land;false;mountain;1
46;146;61;1;land;false;mountain;1
47;104;93;1;land;false;hills;1
48;124;55;1;land;false;mountain;1
49;96;63;1;land;false;mountain;1
50;118;76;1;land;false;mountain;1
51;29;157;1;land;false;hills;1
52;35;175;1;land;false;mountain;1
53;27;228;1;land;false;plains;1
54;25;173;1;land;false;plains;1
55;42;167;1;land;false;hills;1
56;45;204;1;land;false;plains;1
57;13;224;1;land;false;plains;1
58;22;160;1;land;false;hills;1
59;41;175;1;land;true;plains;1
60;20;188;1;land;true;hills;1
61;12;168;1;land;false;plains;1
62;16;200;1;land;false;hills;1
63;43;185;1;land;false;hills;1
64;27;195;1;land;false;mountain;1
65;13;212;1;land;false;plains;1
66;20;225;1;land;false;plains;1
67;5;212;1;land;false;mountain;1
68;14;183;1;land;true;hills;1
69;45;224;1;land;false;mountain;1
70;20;233;1;land;false;hills;1
71;43;227;1;land;true;mountain;1
72;7;177;1;land;true;plains;1
