1;1111;9.900000;245;small
2;1923;9.900000;128;small
3;2612;9.900000;114;small
4;1664;9.900000;44;small
5;3459;9.900000;168;small
6;3881;9.900000;81;small
7;713;9.900000;324;small
8;1167;9.900000;353;small
9;2762;9.900000;116;small
10;2504;9.900000;578;small
11;4440;9.900000;340;small
12;3099;9.900000;418;small
13;2000;9.900000;530;small
14;3751;9.900000;608;small
15;1155;9.900000;640;small
16;724;9.900000;606;small
17;3551;9.900000;531;small
18;2282;9.900000;649;small
19;3062;9.900000;705;small
20;4474;9.900000;946;small
21;2565;9.900000;637;small
22;919;9.900000;870;small
23;499;9.900000;955;small
24;4178;9.900000;864;small
25;1386;9.900000;1091;small
26;1784;9.900000;1143;small
27;770;9.900000;1052;small
28;2470;9.900000;1290;small
29;3722;9.900000;1344;small
30;3308;9.900000;1230;small
31;3243;9.900000;1227;small
32;4804;9.900000;1523;small
33;2191;9.900000;1630;small
34;760;9.900000;1480;small
35;3207;9.900000;1739;small
36;4466;9.900000;1545;small
37;3647;9.900000;1458;small
38;4107;9.900000;1822;small
39;2621;9.900000;1914;small
40;1471;9.900000;1794;small
41;1712;9.900000;1723;small
42;3391;9.900000;1944;small
43;2270;9.900000;2000;small
44;2970;9.900000;1669;small
45;4192;9.900000;2028;small
46;1071;9.900000;1697;small
47;3605;9.900000;2038;small
48;446;9.900000;437;small
49;4763;9.900000;130;small
50;3439;9.900000;917;small
51;4323;9.900000;692;small
52;266;9.900000;1855;small
53;5029;9.900000;1199;small
54;1747;9.900000;1415;small
55;1920;9.900000;1880;small
56;5337;9.900000;1881;small
